,RMSE
"(2, 2, 7)(0, 0, 1, 12)",0.30806417452836016
"(3, 1, 1)(0, 0, 1, 12)",0.31925941062779645
"(3, 2, 1)(0, 0, 1, 12)",0.319660177870268
"(3, 1, 2)(0, 0, 1, 12)",0.35682020439825796
"(3, 2, 2)(0, 0, 1, 12)",0.324542504386174
"(3, 1, 3)(0, 0, 1, 12)",0.2907801012752141
"(3, 2, 3)(0, 0, 1, 12)",0.32317533960100886
"(3, 1, 4)(0, 0, 1, 12)",0.3045909419843621
"(3, 2, 4)(0, 0, 1, 12)",0.3074130427003981
"(3, 1, 5)(0, 0, 1, 12)",0.3191442942317348
"(3, 2, 5)(0, 0, 1, 12)",0.28537466755841057
"(3, 1, 7)(0, 0, 1, 12)",0.29049612437412053
"(3, 2, 7)(0, 0, 1, 12)",0.3061942521512935
"(5, 1, 1)(0, 0, 1, 12)",0.3274825944962461
"(5, 2, 1)(0, 0, 1, 12)",0.3269276541272114
"(5, 1, 2)(0, 0, 1, 12)",0.33095464149960185
"(5, 2, 2)(0, 0, 1, 12)",0.32655715058615453
"(5, 1, 3)(0, 0, 1, 12)",0.31405008446798094
"(5, 2, 3)(0, 0, 1, 12)",0.332932824880416
"(5, 1, 4)(0, 0, 1, 12)",0.316605291497634
"(5, 2, 4)(0, 0, 1, 12)",0.3068981859637233
"(5, 1, 5)(0, 0, 1, 12)",0.28991188186371003
"(5, 2, 5)(0, 0, 1, 12)",0.2839196854843522
"(5, 1, 7)(0, 0, 1, 12)",0.2942244218045482
"(5, 2, 7)(0, 0, 1, 12)",0.2885154687012507
"(7, 1, 1)(0, 0, 1, 12)",0.33198126831151226
"(7, 2, 1)(0, 0, 1, 12)",0.32926333160306215
"(7, 1, 2)(0, 0, 1, 12)",0.2976407670678323
"(7, 2, 2)(0, 0, 1, 12)",0.3292135715462168
"(7, 1, 3)(0, 0, 1, 12)",0.31354642432017427
"(7, 2, 3)(0, 0, 1, 12)",0.27775567927449396
"(7, 1, 4)(0, 0, 1, 12)",0.30570534443796415
"(7, 2, 4)(0, 0, 1, 12)",3.851477188463704e+24
"(7, 1, 5)(0, 0, 1, 12)",0.2804201041207476
"(7, 2, 5)(0, 0, 1, 12)",0.2776838525690884
"(7, 1, 7)(0, 0, 1, 12)",0.26369470362538644
"(7, 2, 7)(0, 0, 1, 12)",0.2815644520239488
"(1, 1, 1)(0, 1, 1, 12)",0.3238108364425072
"(1, 2, 1)(0, 1, 1, 12)",0.21700187372151292
"(1, 1, 2)(0, 1, 1, 12)",0.17743468591190437
"(1, 2, 2)(0, 1, 1, 12)",0.31345788876318886
"(1, 1, 3)(0, 1, 1, 12)",0.16490008602874123
"(1, 2, 3)(0, 1, 1, 12)",0.31770499281513004
"(1, 1, 4)(0, 1, 1, 12)",0.16786525368943145
"(1, 2, 4)(0, 1, 1, 12)",0.30506442195781924
"(1, 1, 5)(0, 1, 1, 12)",0.18584868348882821
"(1, 2, 5)(0, 1, 1, 12)",0.33620782370767716
"(1, 1, 7)(0, 1, 1, 12)",0.17541576502815887
"(1, 2, 7)(0, 1, 1, 12)",0.1543762787698104
"(2, 1, 1)(0, 1, 1, 12)",0.19617688308884548
"(2, 2, 1)(0, 1, 1, 12)",0.2780434072994965
"(2, 1, 2)(0, 1, 1, 12)",0.1726755265836672
"(2, 2, 2)(0, 1, 1, 12)",0.2492925640607613
"(2, 1, 3)(0, 1, 1, 12)",0.2053409067172932
"(2, 2, 3)(0, 1, 1, 12)",0.30903505761743566
"(2, 1, 4)(0, 1, 1, 12)",0.2148547585885249
"(2, 2, 4)(0, 1, 1, 12)",0.2642247003800188
"(2, 1, 5)(0, 1, 1, 12)",0.1809210543668039
"(2, 2, 5)(0, 1, 1, 12)",0.3107791598420594
"(2, 1, 7)(0, 1, 1, 12)",0.18070022475383923
"(2, 2, 7)(0, 1, 1, 12)",0.1830079122271649
"(3, 1, 1)(0, 1, 1, 12)",0.1794883556292612
"(3, 2, 1)(0, 1, 1, 12)",0.31132456325066116
